ok  	github.com/QuantumNous/new-api/router	0.099s
ok  	github.com/QuantumNous/new-api/middleware	0.020s
ok  	github.com/QuantumNous/new-api/controller	0.739s
ok  	github.com/QuantumNous/new-api/model	0.143s
ok  	github.com/QuantumNous/new-api/service	1.476s
ok  	github.com/QuantumNous/new-api/relay	0.018s
ok  	github.com/QuantumNous/new-api/relay/channel	0.018s
?   	github.com/QuantumNous/new-api/relay/channel/ai360	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/ali	[no test files]
ok  	github.com/QuantumNous/new-api/relay/channel/aws	0.020s
?   	github.com/QuantumNous/new-api/relay/channel/baidu	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/baidu_v2	[no test files]
ok  	github.com/QuantumNous/new-api/relay/channel/claude	0.017s
?   	github.com/QuantumNous/new-api/relay/channel/cloudflare	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/codex	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/cohere	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/coze	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/deepseek	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/dify	[no test files]
ok  	github.com/QuantumNous/new-api/relay/channel/gemini	0.019s
?   	github.com/QuantumNous/new-api/relay/channel/jimeng	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/jina	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/lingyiwanwu	[no test files]
ok  	github.com/QuantumNous/new-api/relay/channel/minimax	0.018s
?   	github.com/QuantumNous/new-api/relay/channel/mistral	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/mokaai	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/moonshot	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/ollama	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/openai	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/openrouter	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/palm	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/perplexity	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/replicate	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/siliconflow	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/submodel	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/ali	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/doubao	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/gemini	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/hailuo	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/jimeng	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/kling	[no test files]
ok  	github.com/QuantumNous/new-api/relay/channel/task/mj	0.019s
?   	github.com/QuantumNous/new-api/relay/channel/task/sora	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/suno	[no test files]
ok  	github.com/QuantumNous/new-api/relay/channel/task/taskcommon	0.029s
?   	github.com/QuantumNous/new-api/relay/channel/task/vertex	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/task/vidu	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/tencent	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/vertex	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/volcengine	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/xai	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/xinference	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/xunfei	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/zhipu	[no test files]
?   	github.com/QuantumNous/new-api/relay/channel/zhipu_4v	[no test files]
ok  	github.com/QuantumNous/new-api/relay/common	0.021s
?   	github.com/QuantumNous/new-api/relay/common_handler	[no test files]
ok  	github.com/QuantumNous/new-api/relay/constant	0.005s
ok  	github.com/QuantumNous/new-api/relay/helper	12.052s
?   	github.com/QuantumNous/new-api/relay/reasonmap	[no test files]
